,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
47,603848.SH,好太太,,20221028,11.89,2.1026,1.93,18.7622,48.5%,62.5%,20.09,15.56~23.86,10.56~39.26,,1.5,0.23,34.0,21.27
48,601155.SH,新城控股,,20221028,13.8,,9.28,2.7603,51.0%,27.5%,33.68,3.4~7.68,1.25~13.53,,1.75,1.28,28.97,85.18
49,600809.SH,山西汾酒,长期,20221028,234.63,0.7672,0.36,37.9506,57.0%,38.0%,30.23,32.31~103.81,19.25~92.89,,1.5,0.85,37.42,47.02
50,000538.SZ,云南白药,长期,20221028,54.78,2.0855,4.38,37.0326,57.5%,101.5%,14.5,23.58~36.38,23.43~35.97,,1.5,2.4,73.32,29.85
51,600276.SH,恒瑞医药,长期,20221028,38.95,0.4107,0.49,62.397,58.5%,63.5%,21.4,36.51~99.79,42.29~94.65,,1.75,0.19,17.99,10.67
52,300482.SZ,万孚生物,,20221028,29.55,1.0109,1.18,10.5331,58.5%,14.0%,21.49,4.67~75.05,11.55~75.15,,1.75,0.35,27.39,24.92
53,600085.SH,同仁堂,长期,20221028,50.7,0.572,0.73,53.0692,62.0%,102.0%,11.77,33.07~52.09,32.33~51.13,,1.5,0.37,48.2,30.18
54,002271.SZ,东方雨虹,,20221028,25.88,1.154,1.04,20.4961,66.5%,45.5%,22.73,15.26~45.64,10.28~43.16,,2.0,0.27,20.63,51.15
55,002901.SZ,大博医疗,,20221028,40.17,1.2447,1.39,38.7695,69.5%,56.0%,30.19,21.56~71.4,24.21~65.83,,1.25,0.56,48.95,17.49
56,300450.SZ,先导智能,,20221028,48.12,1.0378,0.6,33.5408,70.5%,28.5%,21.81,28.95~121.89,14.8~110.12,,1.75,0.29,31.15,57.7
57,603605.SH,珀莱雅,,20221028,166.46,0.3663,0.35,66.7404,73.5%,76.0%,20.52,56.62~87.74,28.93~87.59,,1.5,0.58,30.36,35.45
58,603638.SH,艾迪精密,,20221028,13.94,0.8623,1.29,45.9237,80.0%,56.5%,21.72,30.43~84.89,21.82~77.72,,1.75,0.18,23.53,29.89
59,000661.SZ,长春高新,长期,20221028,174.75,0.455,0.48,17.3562,95.0%,20.0%,24.93,6.57~88.15,13.72~79.5,,1.75,0.84,12.95,28.62
60,603868.SH,飞科电器,,20221028,85.81,1.1654,1.4,42.4805,105.5%,106.5%,28.59,22.19~40.61,19.3~38.9,,1.25,1.2,71.06,27.71
61,300571.SZ,平治信息,,20221028,28.58,0.3849,0.77,21.4145,122.0%,51.5%,32.07,16.26~32.64,6.83~55.17,,1.75,0.22,14.21,56.17
62,600690.SH,海尔智家,,20221028,21.3,2.1373,1.78,14.2042,126.5%,42.0%,19.31,6.86~35.74,5.77~31.37,,1.75,0.38,34.95,66.12
63,600763.SH,通策医疗,,20221028,121.72,,0.07,65.2773,250.0%,34.5%,20.27,29.38~202.48,13.63~176.35,,1.75,0.08,17.52,34.43
64,600309.SH,万华化学,长期,20221028,82.2,3.0414,2.09,13.7902,304.5%,40.0%,35.67,4.77~36.29,2.65~32.13,,1.5,1.72,41.66,56.12
