,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
33,600519.SH,贵州茅台,长期,20200319,996.0,1.4597,0.86,30.5724,39.5%,83.5%,30.05,26.62~36.88,18.46~35.82,,1.25,8.53,46.96,25.46
34,000895.SZ,双汇发展,长期,20200319,34.0,1.608,4.26,21.6808,40.5%,105.0%,29.49,15.64~20.78,15.1~20.38,,1.25,1.45,101.82,29.62
35,000858.SZ,五粮液,长期,20200319,102.11,1.6649,1.03,24.1187,42.0%,70.0%,17.51,19.49~35.43,14.94~33.4,,1.5,1.05,47.61,19.69
36,300015.SZ,爱尔眼科,长期,20200319,36.0,0.4274,0.61,80.729,46.0%,81.0%,18.95,55.29~99.73,54.95~97.65,,1.5,0.22,48.82,29.6
37,603288.SH,海天味业,长期,20200319,93.4,1.0493,0.84,49.7591,47.0%,87.0%,32.88,37.41~58.79,30.76~55.0,,1.25,0.78,62.43,28.1
38,300638.SZ,广和通,,20200319,68.75,0.3283,0.28,54.279,47.0%,60.0%,19.21,36.76~89.74,36.76~89.74,,2.0,0.19,28.77,47.66
39,600809.SH,山西汾酒,长期,20200319,80.2,0.9352,0.64,34.5282,50.5%,58.5%,19.25,25.64~53.28,20.58~64.98,,1.5,0.51,52.23,37.32
40,002507.SZ,涪陵榨菜,长期,20200319,27.61,0.9417,0.58,36.0149,51.5%,78.0%,19.18,24.32~42.64,23.2~49.98,,1.75,0.16,27.27,18.5
41,002884.SZ,凌霄泵业,,20200319,16.29,5.7,7.06,11.3555,56.0%,43.0%,19.36,7.27~26.29,7.27~26.29,,1.5,1.15,56.92,7.65
42,300628.SZ,亿联网络,,20200319,88.24,0.6795,1.73,42.2831,58.0%,95.0%,42.73,26.69~44.33,26.6~44.3,,1.25,1.53,37.33,7.65
43,300529.SZ,健帆生物,,20200319,85.49,0.7013,0.44,62.7485,60.0%,79.5%,23.75,45.15~67.63,34.36~92.72,,1.5,0.38,51.68,14.42
44,601155.SH,新城控股,,20200319,27.24,5.4781,2.53,5.5371,61.5%,29.5%,29.16,3.94~16.34,3.01~21.07,修正标准差,1.75,0.69,23.88,83.52
45,600298.SH,安琪酵母,长期,20200319,30.4,1.1513,0.95,29.5244,62.0%,66.0%,15.36,22.12~36.5,15.42~55.9,,1.75,0.29,44.89,49.14
46,600309.SH,万华化学,长期,20200319,40.38,4.9529,2.23,13.3615,65.0%,65.5%,30.79,7.73~17.45,8.41~24.27,,1.5,0.9,35.79,60.64
47,600763.SH,通策医疗,,20200319,93.75,,0.09,65.8678,66.0%,76.0%,20.27,44.83~80.53,35.29~91.55,,1.75,0.08,17.52,34.43
48,002901.SZ,大博医疗,,20200319,61.8,0.8084,0.73,53.2996,68.0%,88.0%,30.34,31.69~60.39,31.69~60.39,,1.25,0.45,54.14,11.62
49,300595.SZ,欧普康视,,20200319,50.81,0.1528,0.45,67.0195,71.5%,90.0%,30.37,39.0~73.7,38.76~74.28,,1.5,0.23,17.57,11.8
50,002271.SZ,东方雨虹,,20200319,30.9,0.9569,0.58,22.0473,72.5%,66.0%,21.31,12.78~32.08,12.71~34.01,,1.75,0.18,15.6,43.31
51,600276.SH,恒瑞医药,长期,20200319,79.0,0.2321,0.16,71.4731,72.5%,85.0%,23.01,48.65~85.59,35.74~82.12,,1.75,0.13,12.23,10.38
52,300357.SZ,我武生物,,20200319,39.42,0.3523,0.79,69.1634,73.5%,92.0%,24.04,39.81~75.55,39.62~74.28,,1.25,0.31,38.3,5.08
53,603638.SH,艾迪精密,,20200319,28.03,0.45,0.89,37.5939,89.5%,55.5%,20.67,22.51~62.35,17.71~72.35,,1.5,0.25,40.38,25.8
54,000049.SZ,德赛电池,,20200319,37.13,0.667,0.59,16.5147,94.0%,37.5%,27.54,7.55~38.47,9.66~49.98,,1.75,0.22,15.98,73.3
55,002916.SZ,深南电路,,20200319,227.4,0.2748,0.28,62.6017,96.0%,102.0%,19.56,31.85~60.83,31.85~60.83,,1.75,0.63,31.15,56.88
56,300482.SZ,万孚生物,,20200319,64.58,0.3402,0.45,57.4706,113.0%,63.5%,21.7,25.12~85.28,28.98~95.06,,1.75,0.29,27.14,19.28
57,603444.SH,吉比特,,20200319,377.24,2.6515,1.48,30.5978,115.5%,97.5%,35.07,14.51~29.97,13.79~32.59,,1.25,5.57,59.84,22.02
58,000661.SZ,长春高新,长期,20200319,447.31,0.1503,0.17,64.2694,117.5%,102.5%,20.28,30.18~64.06,28.79~61.01,,1.75,0.74,21.82,32.31
59,603568.SH,伟明环保,,20200319,26.17,0.8972,0.92,27.8646,120.0%,52.5%,22.92,18.91~39.85,9.5~77.4,,1.5,0.24,34.39,43.7
60,300571.SZ,平治信息,,20200319,52.21,0.3704,0.44,24.6407,132.5%,27.0%,35.23,10.36~87.9,10.78~92.22,,1.5,0.23,17.77,38.26
61,603180.SH,金牌厨柜,,20200319,60.35,1.6388,1.49,16.7343,133.0%,27.0%,26.02,7.16~61.0,7.16~61.0,,1.5,0.9,32.01,46.24
62,603605.SH,珀莱雅,,20200319,103.46,0.4157,0.36,60.2815,144.0%,107.0%,19.05,24.65~56.15,24.65~56.15,,1.5,0.37,30.54,38.65
63,603707.SH,健友股份,,20200319,44.6,0.2587,0.34,59.4923,164.0%,95.0%,18.82,22.48~62.2,22.48~62.2,,1.75,0.15,19.81,26.34
64,300450.SZ,先导智能,,20200319,42.5,0.659,0.66,50.0643,222.5%,54.5%,28.96,20.29~77.53,12.53~111.05,,1.75,0.28,26.21,58.68
