,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
12,002867.SZ,周大生,,20221031,11.07,7.1726,4.52,10.5547,-5.5,43.0,10.59~23.07,11.86~25.5,,1.5,0.5,38.02,21.25
13,000848.SZ,承德露露,,20221031,7.5,,4.67,13.689,-4.0,56.5,13.95~23.73,14.87~24.07,,1.5,0.35,81.07,31.26
14,000895.SZ,双汇发展,长期,20221031,22.78,8.3319,6.28,14.4056,-3.5,52.0,15.63~28.41,14.28~26.56,,1.5,1.43,92.66,34.59
15,300628.SZ,亿联网络,,20221031,68.88,1.1623,1.5,28.502,-2.5,50.5,33.92~57.46,25.86~54.3,,1.5,1.03,43.03,8.28
16,600519.SH,贵州茅台,长期,20221031,1350.0,1.6056,1.24,28.4571,-2.0,50.5,33.91~57.09,25.21~54.29,,1.5,16.71,51.72,24.38
17,603288.SH,海天味业,长期,20221031,59.68,1.1577,1.58,41.7101,-1.5,45.0,47.89~95.37,38.12~88.0,,1.5,0.94,55.97,30.65
18,603369.SH,今世缘,,20221031,37.38,1.5687,1.1,19.4433,0.0,44.0,22.31~45.45,17.32~42.1,,1.5,0.41,35.75,30.0
19,603899.SH,晨光股份,长期,20221031,40.3,1.4901,1.02,27.9617,1.5,43.0,27.31~67.15,27.62~61.06,,1.5,0.41,35.76,39.98
20,603043.SH,广州酒家,,20221031,20.38,1.9627,1.82,19.7858,2.0,48.5,18.88~41.64,19.96~38.98,,1.5,0.37,38.18,26.29
21,000858.SZ,五粮液,长期,20221031,133.5,2.2644,1.62,19.9007,2.0,37.0,22.03~55.57,17.55~50.77,,1.5,2.16,50.18,24.79
22,300726.SZ,宏达电子,,20221031,44.35,1.3529,0.63,21.7716,2.0,32.0,20.43~67.59,22.36~66.68,,1.75,0.28,29.87,12.76
23,603707.SH,健友股份,,20221031,16.27,0.7092,1.11,23.4565,2.5,34.0,23.93~70.55,22.07~65.41,,1.75,0.18,22.01,35.86
24,600600.SH,青岛啤酒,长期,20221031,81.8,1.3447,0.81,29.2798,3.0,46.5,28.86~63.82,27.63~60.37,,1.75,0.66,44.87,46.37
25,002415.SZ,海康威视,,20221031,28.42,3.1668,2.46,18.2686,3.5,44.5,17.1~40.58,17.94~41.16,,1.5,0.7,51.53,39.23
26,002916.SZ,深南电路,,20221031,75.07,1.2655,1.15,23.5363,4.5,39.0,20.86~60.18,24.49~59.93,,1.75,0.86,31.74,53.79
27,300630.SZ,普利制药,,20221031,26.42,0.723,0.72,23.9569,5.0,28.5,24.27~71.25,21.48~98.28,,1.75,0.19,20.24,30.0
28,600612.SH,老凤祥,,20221031,38.41,3.7751,3.12,11.5863,5.0,55.0,10.45~20.39,11.53~21.37,,1.75,1.2,45.31,51.38
29,002508.SZ,老板电器,,20221031,20.5,2.4264,2.98,15.9105,6.0,61.5,16.61~24.57,13.63~26.89,,1.5,0.61,39.35,34.91
30,002884.SZ,凌霄泵业,,20221031,15.02,6.6578,7.46,11.419,6.0,50.0,11.54~22.26,10.03~23.05,,1.5,1.12,74.54,8.45
31,603568.SH,伟明环保,,20221031,18.93,0.5283,1.37,20.2271,6.5,61.5,18.77~32.47,18.98~33.02,,1.75,0.26,27.33,43.46
32,300015.SZ,爱尔眼科,长期,20221031,24.7,0.366,0.73,66.2183,11.0,39.0,68.53~175.81,52.86~158.5,,1.5,0.18,41.94,39.14
33,600885.SH,宏发股份,,20221031,34.31,0.8931,1.02,29.5642,12.5,55.0,31.17~54.95,22.6~51.78,,1.5,0.35,30.75,33.39
34,300638.SZ,广和通,,20221031,18.73,0.7093,1.39,32.0868,17.0,38.5,26.65~79.97,28.12~86.4,,2.0,0.26,26.93,46.39
35,002304.SZ,洋河股份,,20221031,130.65,2.2954,2.26,21.0193,21.0,52.0,18.72~41.96,16.07~38.51,,1.5,2.95,59.95,32.33
36,600298.SH,安琪酵母,长期,20221031,36.18,1.3243,1.16,26.4715,22.5,60.5,22.26~44.54,20.82~42.46,,1.75,0.42,34.31,46.8
37,603444.SH,吉比特,,20221031,254.65,6.2831,3.58,14.3567,26.0,36.0,12.37~41.65,10.49~37.19,,1.5,9.12,67.13,23.01
38,601318.SH,中国平安,长期,20221031,36.15,6.5877,3.68,6.852,26.5,47.0,5.74~12.86,5.11~16.51,,2.0,1.33,19.94,89.53
39,000651.SZ,格力电器,长期,20221031,28.67,10.2879,7.19,6.2766,33.5,28.5,4.38~22.86,5.06~20.7,,1.75,2.06,46.15,61.2
40,600436.SH,片仔癀,长期,20221031,228.0,0.5307,0.35,55.6349,35.0,45.5,47.45~127.79,36.21~114.59,,1.5,0.79,31.76,20.16
41,300357.SZ,我武生物,,20221031,47.0,0.4277,0.51,62.9993,36.0,49.0,58.34~132.0,38.14~121.2,,1.5,0.24,31.29,5.72
42,002236.SZ,大华股份,,20221031,11.58,2.3019,1.64,13.1429,40.0,51.0,11.58~22.26,7.86~30.24,,2.0,0.19,18.56,47.45
43,603180.SH,金牌厨柜,,20221031,24.87,4.2656,3.74,11.1391,40.5,34.5,11.23~25.21,6.12~42.88,修正标准差,1.75,0.93,32.75,48.19
44,603848.SH,好太太,,20221031,11.68,2.1404,1.97,18.4308,46.0,61.5,15.55~23.85,10.56~39.26,,1.5,0.23,34.0,21.27
45,002833.SZ,弘亚数控,,20221031,15.25,2.4356,3.28,13.6063,52.0,38.5,8.57~34.51,9.26~35.48,,1.75,0.5,27.21,23.72
46,000049.SZ,德赛电池,,20221031,49.72,1.5086,1.19,16.4395,53.5,60.0,11.04~26.68,10.32~27.56,,2.0,0.59,23.65,70.97
47,600085.SH,同仁堂,长期,20221031,48.75,0.5949,0.76,51.0281,55.5,98.0,33.09~52.11,32.33~51.15,,1.5,0.37,48.2,30.18
48,000538.SZ,云南白药,长期,20221031,54.56,2.0939,4.4,36.8839,56.5,101.5,23.59~36.39,23.44~35.98,,1.5,2.4,73.32,29.85
49,002271.SZ,东方雨虹,,20221031,24.5,1.219,1.1,19.4032,57.5,43.0,15.26~45.64,10.27~43.15,,2.0,0.27,20.63,51.15
50,300482.SZ,万孚生物,,20221031,30.25,0.9875,1.16,10.7826,64.5,14.0,4.58~75.04,11.51~75.09,,1.75,0.35,27.39,24.92
51,603605.SH,珀莱雅,,20221031,167.15,0.3648,0.35,67.017,74.5,76.0,56.68~87.72,28.94~87.58,,1.5,0.58,30.36,35.45
52,300450.SZ,先导智能,,20221031,50.09,0.997,0.58,34.914,78.0,29.5,28.95~121.89,14.75~110.09,,1.75,0.29,31.15,57.7
53,000661.SZ,长春高新,长期,20221031,161.9,0.4911,0.52,16.08,82.5,19.0,6.46~88.14,13.66~79.52,,1.75,0.84,12.95,28.62
54,300595.SZ,欧普康视,,20221031,29.72,0.4677,0.54,43.1017,85.0,26.5,38.41~167.01,16.67~149.29,,1.75,0.16,19.24,11.79
55,600276.SH,恒瑞医药,长期,20221031,40.2,0.3979,0.47,73.3427,86.5,75.0,36.51~99.77,42.29~94.65,,1.75,0.19,17.99,10.67
56,603638.SH,艾迪精密,,20221031,14.22,0.8453,1.27,48.7765,91.5,59.5,30.48~84.88,21.82~77.72,,1.75,0.18,23.53,29.89
57,603868.SH,飞科电器,,20221031,79.31,1.2609,1.51,39.2627,109.0,94.0,20.39~42.47,17.33~40.85,,1.5,1.2,71.06,27.71
58,600690.SH,海尔智家,,20221031,20.8,2.1886,1.83,13.2764,111.5,39.5,6.86~35.74,5.77~31.37,,1.75,0.38,34.95,66.12
59,600809.SH,山西汾酒,长期,20221031,232.38,0.7746,0.37,37.5867,114.5,35.5,26.34~109.78,13.08~99.02,,1.75,0.85,37.42,47.02
60,002901.SZ,大博医疗,,20221031,40.5,1.2346,1.38,39.088,115.0,53.0,16.56~76.36,20.05~69.95,,1.5,0.56,48.95,17.49
61,600763.SH,通策医疗,,20221031,122.25,,0.07,65.5615,251.0,34.5,29.35~202.49,13.66~176.34,,1.75,0.08,17.52,34.43
62,300571.SZ,平治信息,,20221031,29.89,0.368,0.74,22.3961,303.0,52.0,15.09~33.81,3.4~58.52,,2.0,0.22,14.21,56.17
63,601155.SH,新城控股,,20221031,13.19,,9.7,2.963,348.0,28.5,3.09~7.99,0.37~14.39,,2.0,1.28,28.97,85.18
64,600309.SH,万华化学,长期,20221031,80.36,3.111,2.14,13.4815,3584.5,36.0,2.14~38.92,0.2~34.58,,1.75,1.72,41.66,56.12
