,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
23,600885.SH,宏发股份,,20200519,31.43,0.9227,0.92,33.9591,48.5%,86.5%,17.19,22.49~38.57,23.04~39.5,,1.75,0.29,27.44,31.37
24,600887.SH,伊利股份,长期,20200519,29.0,,2.24,30.325,49.0%,98.5%,25.03,21.95~31.11,18.87~30.21,,1.5,0.65,65.17,47.29
25,300638.SZ,广和通,,20200519,84.86,,0.31,62.0019,53.5%,72.0%,19.28,40.3~85.32,40.13~85.67,,1.75,0.26,29.89,43.96
26,603043.SH,广州酒家,,20200519,31.94,1.2523,1.1,36.7796,55.0%,105.0%,21.76,23.72~34.8,23.72~34.8,,1.5,0.35,38.39,21.41
27,300628.SZ,亿联网络,,20200519,94.5,0.6346,1.46,42.2658,55.0%,97.0%,39.87,27.36~42.6,26.96~44.48,,1.25,1.38,38.92,7.97
28,000895.SZ,双汇发展,长期,20200519,40.49,,3.41,23.9015,56.5%,112.5%,31.46,15.54~21.7,14.92~20.74,,1.25,1.38,99.33,32.55
29,000333.SZ,美的集团,长期,20200519,58.76,2.0816,2.14,17.9656,57.5%,86.0%,26.58,13.42~21.18,9.84~20.4,,1.5,1.26,43.77,62.4
30,002833.SZ,弘亚数控,,20200519,39.67,0.7502,0.81,18.8179,62.0%,46.5%,26.73,11.7~38.08,11.45~42.25,,1.5,0.32,16.57,18.86
31,300630.SZ,普利制药,,20200519,77.67,0.1744,0.24,70.8703,66.5%,66.5%,23.81,42.78~105.88,42.1~105.2,,1.75,0.19,20.38,23.75
32,002236.SZ,大华股份,,20200519,16.68,,0.9,15.705,72.0%,38.5%,23.63,8.18~38.76,10.23~42.23,,2.0,0.15,16.28,47.08
33,600519.SH,贵州茅台,长期,20200519,1346.11,1.0801,0.82,39.2532,75.0%,105.5%,30.28,26.84~37.4,19.16~36.38,,1.25,11.1,51.17,26.75
34,601155.SH,新城控股,,20200519,31.5,4.7373,2.83,5.5885,76.0%,30.5%,30.67,3.42~16.26,2.95~20.65,修正标准差,1.75,0.89,25.28,84.14
35,002507.SZ,涪陵榨菜,长期,20200519,35.82,0.7259,0.56,45.9387,80.5%,101.5%,21.29,25.51~42.59,25.27~47.45,,1.5,0.2,32.2,18.03
36,000858.SZ,五粮液,长期,20200519,151.42,1.1227,0.91,31.5465,81.0%,90.5%,19.48,19.85~35.65,15.44~33.7,,1.5,1.38,50.01,22.77
37,603369.SH,今世缘,,20200519,37.51,0.8798,0.85,33.6826,86.0%,113.5%,19.17,17.98~29.76,18.13~29.33,,1.5,0.32,33.4,26.97
38,600276.SH,恒瑞医药,长期,20200519,97.94,,0.16,79.459,87.0%,93.5%,23.56,51.49~85.89,36.05~83.55,,1.75,0.16,14.35,10.53
39,300529.SZ,健帆生物,,20200519,121.6,,0.42,81.5873,88.5%,107.5%,25.24,46.82~66.32,40.03~88.07,,1.25,0.51,55.27,14.06
40,002884.SZ,凌霄泵业,,20200519,15.37,4.6555,7.16,13.9613,91.0%,53.0%,19.59,7.29~25.97,7.29~25.97,,1.5,1.1,68.84,7.91
41,600298.SH,安琪酵母,长期,20200519,41.5,1.8072,0.82,35.3356,91.5%,80.5%,18.17,22.13~36.57,15.73~54.03,,1.75,0.34,44.32,48.1
42,002916.SZ,深南电路,,20200519,171.31,0.4795,0.47,61.5292,92.0%,98.0%,22.46,32.03~62.37,32.03~62.37,,1.75,0.8,31.21,57.61
43,600809.SH,山西汾酒,长期,20200519,120.5,0.6224,0.51,45.9431,93.5%,80.0%,19.72,25.76~53.26,21.88~61.36,,1.5,0.62,54.33,41.16
44,603288.SH,海天味业,长期,20200519,114.19,0.7882,0.74,67.4163,96.0%,115.5%,32.57,39.18~60.18,30.64~56.4,,1.25,0.84,61.79,28.3
45,000651.SZ,格力电器,长期,20200519,58.02,2.5853,3.26,16.9575,100.0%,108.0%,30.33,8.97~15.85,8.01~15.37,,1.5,1.89,55.14,66.89
46,600600.SH,青岛啤酒,长期,20200519,60.7,0.7908,0.72,51.8442,108.5%,107.0%,8.55,29.89~49.21,21.22~47.46,,1.5,0.44,41.64,44.31
47,600309.SH,万华化学,长期,20200519,47.75,6.911,2.3,17.2102,112.0%,85.5%,31.33,7.81~17.43,8.41~23.51,,1.5,1.1,38.79,57.95
48,603444.SH,吉比特,,20200519,426.8,2.3436,1.27,33.4136,130.5%,106.0%,33.07,14.79~29.63,14.11~33.17,,1.25,5.43,55.96,21.86
49,000661.SZ,长春高新,长期,20200519,664.9,0.1011,0.13,68.9144,133.5%,106.5%,20.79,30.68~66.34,28.26~62.56,,1.75,0.84,20.18,31.45
50,300015.SZ,爱尔眼科,长期,20200519,48.75,0.3156,0.45,130.214,134.0%,128.0%,20.08,56.94~103.0,54.13~99.69,,1.5,0.22,49.57,34.24
51,000049.SZ,德赛电池,,20200519,46.0,0.5384,0.7,19.793,136.5%,47.0%,25.27,7.97~35.45,8.79~49.49,,1.75,0.32,18.43,70.71
52,603568.SH,伟明环保,,20200519,31.04,,0.84,31.9609,147.0%,63.5%,23.68,20.2~36.9,9.51~76.61,,1.5,0.26,33.66,42.71
53,002271.SZ,东方雨虹,,20200519,38.0,0.7386,0.53,28.8231,153.5%,83.5%,21.49,11.31~33.89,11.39~34.99,,2.0,0.2,17.39,47.89
54,002901.SZ,大博医疗,,20200519,95.78,0.5216,0.52,81.6324,156.0%,130.0%,30.04,31.82~62.78,31.82~62.78,,1.25,0.5,53.36,14.97
55,300482.SZ,万孚生物,,20200519,90.33,0.5193,0.31,74.9983,158.5%,86.5%,21.09,28.26~79.26,29.67~94.93,,1.75,0.28,26.15,18.71
56,603638.SH,艾迪精密,,20200519,48.0,,0.48,58.466,161.0%,95.0%,21.16,28.15~53.59,18.51~72.01,,1.5,0.23,35.42,25.56
57,300571.SZ,平治信息,,20200519,47.96,0.4032,0.6,28.3738,171.5%,33.5%,34.29,11.32~78.06,9.68~90.88,,1.5,0.29,19.94,43.17
58,300595.SZ,欧普康视,,20200519,75.98,,0.26,104.4456,175.0%,134.0%,29.3,37.69~77.49,38.13~77.51,,1.5,0.2,16.47,11.47
59,300357.SZ,我武生物,,20200519,57.91,,0.5,110.8508,178.5%,143.0%,24.17,40.33~79.65,39.09~75.21,,1.25,0.29,35.36,5.48
60,600763.SH,通策医疗,,20200519,137.5,,0.06,126.0302,213.5%,144.5%,20.27,42.16~87.08,38.3~86.64,,1.75,0.08,17.52,34.43
61,603707.SH,健友股份,,20200519,64.0,0.1803,0.31,69.6188,222.0%,105.0%,20.03,21.6~66.16,21.6~66.16,,1.75,0.2,24.99,31.18
62,300450.SZ,先导智能,,20200519,39.66,0.7062,0.5,52.4933,234.0%,57.5%,27.19,20.01~76.69,12.92~109.98,,1.75,0.2,19.69,58.16
63,603605.SH,珀莱雅,,20200519,166.49,0.3544,0.26,88.3544,274.0%,145.0%,19.73,23.58~60.8,23.58~60.8,,1.5,0.44,30.43,35.94
64,603180.SH,金牌厨柜,,20200519,72.7,1.3501,1.24,21.426,1032.0%,33.0%,24.72,1.82~64.56,1.97~64.45,,1.75,0.9,29.72,49.04
